"","X_fixed_sub50","Y_fixed_sub50","Temp_fixed_sub50","Rs_fixed_sub50"
"1",207,-2118,24.937671661377,938.894714355469
"2",-193,-1718,21.9794521331787,440.316619873047
"3",207,-1718,21.0952053070068,927.785217285156
"4",707,-1718,21.3589038848877,1178.86828613281
"5",1107,-1718,22.1034240722656,1109.6767578125
"6",1907,-1718,22.8260269165039,1241.52014160156
"7",-993,-1318,19.3061637878418,431.385131835938
"8",-593,-1318,15.8924655914307,422.970092773438
"9",-193,-1318,17.629451751709,460.805511474609
"10",207,-1318,19.2684936523438,986.183044433594
"11",707,-1318,18.9102745056152,835.038818359375
"12",1107,-1318,18.4787673950195,833.275512695312
"13",1507,-1318,19.2171230316162,1160.13342285156
"14",-1893,-918,15.8856163024902,303.687164306641
"15",-1493,-918,18.6369857788086,347.642425537109
"16",-993,-918,13.1609592437744,539.550415039062
"17",-593,-918,8.35410976409912,609.581237792969
"18",-193,-918,14.6020545959473,590.985900878906
"19",207,-918,16.8308219909668,1062.99255371094
"20",707,-918,16.2102737426758,1131.53259277344
"21",1107,-918,15.7705478668213,1341.92797851562
"22",1507,-918,14.2828769683838,1115.50402832031
"23",1907,-918,17.5547943115234,1124.99157714844
"24",-1893,-418,17.1404113769531,831.814575195312
"25",-1493,-418,11.4089040756226,267.251647949219
"26",-993,-418,13.7424659729004,552.221435546875
"27",-593,-418,6.69726037979126,707.545837402344
"28",-193,-418,11.5739727020264,590.165771484375
"29",207,-418,12.4534244537354,853.936096191406
"30",707,-418,12.3883562088013,825.74609375
"31",1107,-418,12.3979454040527,760.271667480469
"32",1507,-418,12.6219177246094,730.405395507812
"33",1907,-418,13.4123287200928,1072.80822753906
"34",-1893,-18,12.7232875823975,669.231994628906
"35",-1493,-18,8.75410938262939,531.802856445312
"36",-993,-18,8.06164360046387,701.487243652344
"37",-593,-18,8.64863014221191,578.064392089844
"38",-193,-18,9.07465744018555,539.994445800781
"39",207,-18,8.21986293792725,599.591125488281
"40",707,-18,9.27739715576172,847.15966796875
"41",1107,-18,9.62054824829102,675.728454589844
"42",1907,-18,9.51643848419189,597.971496582031
"43",2407,-18,12.4636993408203,710.280639648438
"44",-1493,382,11.199315071106,384.201141357422
"45",-993,382,4.92397260665894,626.261535644531
"46",-593,382,8.21849346160889,460.956329345703
"47",-193,382,5.51849317550659,428.001251220703
"48",207,382,5.62328767776489,551.172241210938
"49",707,382,5.05547952651978,467.796295166016
"50",2407,382,8.28013706207275,610.51513671875
