"","X_aclhs_sub50","Y_aclhs_sub50","Temp_aclhs_sub50","Rs_aclhs_sub50"
"1",-1593,-818,16.7945213317871,224.652725219727
"2",-1493,-1218,23.0945205688477,331.626251220703
"3",-693,-1418,17.6006851196289,378.809539794922
"4",-493,482,5.6410961151123,392.393249511719
"5",-1293,-418,9.3143835067749,418.660369873047
"6",-393,-1418,18.8554801940918,429.931091308594
"7",-193,-1618,19.4068489074707,449.077392578125
"8",-893,-818,13.8506851196289,468.578216552734
"9",1307,82,8.3828763961792,479.658630371094
"10",-593,-1018,11.4650688171387,498.159606933594
"11",-93,82,9.19589042663574,505.761962890625
"12",-293,-518,11.2089042663574,529.962768554688
"13",-93,382,5.8787670135498,533.230712890625
"14",-493,-418,7.16369867324829,551.457397460938
"15",-593,-1218,15.8554792404175,552.966247558594
"16",2007,382,8.97671222686768,573.894958496094
"17",-993,-518,9.81095886230469,581.741638183594
"18",-1093,582,2.46369862556458,590.448059082031
"19",-993,282,6.66027402877808,603.402221679688
"20",1207,-18,9.51301383972168,614.948303222656
"21",-1393,482,8.65616416931152,624.772399902344
"22",-793,282,8.05068492889404,631.838317871094
"23",-1093,382,8.1732873916626,654.804260253906
"24",-93,-1118,15.7904109954834,663.890075683594
"25",107,-318,10.9116439819336,678.654235839844
"26",-93,-618,12.5397262573242,698.22509765625
"27",307,-2118,24.7609596252441,710.280456542969
"28",7,-1018,16.2171230316162,728.809814453125
"29",1707,-518,10.5205478668213,748.567504882812
"30",2207,582,4.77671241760254,776.357116699219
"31",-1793,-218,10.2534246444702,789.913452148438
"32",7,-518,12.4657535552979,832.317077636719
"33",507,-618,14.5547943115234,842.912231445312
"34",-1593,382,7.70616436004639,858.158813476562
"35",307,-218,10.7767124176025,888.872497558594
"36",107,-1418,19.2575340270996,938.1728515625
"37",207,-2018,24.1739730834961,960.719970703125
"38",707,-718,15.0547943115234,997.611572265625
"39",1907,-318,13.0739727020264,1035.53845214844
"40",107,-1018,17.1390419006348,1051.16467285156
"41",807,-1718,21.4301376342773,1068.98071289062
"42",1507,-918,14.2828769683838,1115.50402832031
"43",307,-618,13.4863014221191,1153.36450195312
"44",607,-1618,20.7965755462646,1162.01110839844
"45",607,-1218,18.1493148803711,1197.1748046875
"46",1407,-1518,20.3534240722656,1259.09143066406
"47",1707,-1318,19.8712329864502,1268.06201171875
"48",-1793,282,11.9253425598145,1318.90942382812
"49",1807,-1018,17.8308219909668,1340.33056640625
"50",407,-1818,22.0856170654297,1376.44555664062
