Time,Temp,CO2
233,21.26172,12.00301
234,19.69948,10.56123
235,18.86820,10.79293
236,19.31856,10.22373
237,20.05613,10.16455
238,18.88119,8.64137
239,18.14422,7.63960
240,18.01959,7.22934
241,18.37197,6.61771
242,19.05341,6.36075
243,20.03957,6.16699
244,20.47332,7.40951
245,20.55232,7.73986
246,20.77088,7.42168
247,21.04747,6.78706
248,20.46028,5.94708
249,19.42241,5.64422
250,19.58344,5.58079
251,20.13904,5.62231
252,21.21014,6.89915
253,21.19960,6.91192
254,20.12187,2.71112
255,20.35564,3.52862
256,19.57456,4.20239
257,17.59066,4.03533
258,16.58363,3.69306
259,17.31769,3.57835
260,17.37850,3.35276
261,16.94134,3.28388
262,17.29758,3.51376
263,18.58250,3.31857
264,19.42606,3.52155
265,18.42522,3.48577
266,15.95879,2.84123
267,16.45834,2.75383
268,17.34759,6.45483
269,16.94109,5.66865
270,17.18690,5.75592
271,17.64628,6.00163
272,18.17583,6.78177
273,18.36597,6.31596
274,18.20909,6.07482
275,17.65459,5.52545
276,17.47831,4.97302
277,17.85103,5.61153
278,14.59919,4.08077
279,14.58194,3.54414
280,16.34381,3.49787
281,17.44456,4.98491
282,16.15388,4.27235
283,15.41788,4.25160
284,14.78784,4.61353
285,14.24445,4.19906
286,15.22696,4.46079
287,17.45583,4.87504
288,19.04812,5.73029
289,18.34571,6.81655
290,16.94319,5.10659
291,16.35241,4.03082
292,14.19353,3.32485
293,12.54975,2.83386
294,14.12421,3.74207
295,14.21272,4.11158
296,13.12547,3.51443
297,13.58219,3.68688
298,13.60603,4.26715
299,13.90444,3.39417
300,13.11300,3.22526
301,14.21669,3.29729
302,15.93003,3.75569
303,13.93694,3.26042
304,12.48044,2.71314
305,11.54709,2.89366
306,9.87303,2.11943
307,9.47109,2.29472
308,11.14281,2.65066
309,12.62634,3.04903
310,13.10056,4.35329
311,12.27150,4.22441
312,10.14147,2.71192
313,10.50514,3.65844
314,10.49290,3.29759
315,11.13319,3.89679
316,13.11558,3.79674
317,11.03863,2.42121
318,9.19961,2.17439
319,7.86845,2.19628
320,7.79691,2.39151
321,9.24538,4.83333
322,8.67691,2.33466
323,6.39538,1.59746
324,6.53066,1.54047
325,6.34567,1.61434
326,5.50813,1.94465
327,6.77335,2.16171
328,10.41835,3.41798
329,11.89275,4.21322
330,9.64245,4.86758
