x,y,rPRCP,rRS
-1393,182,915,614.250549316406
-1293,182,630,593.6943359375
-1193,182,1010,567.368041992188
-1093,182,705,672.860046386719
-993,182,417,655.545593261719
-893,182,296,506.887268066406
-793,182,264,607.0947265625
-693,182,262,421.915893554688
-593,182,276,570.483581542969
-493,182,226,399.480499267578
-393,182,286,424.020355224609
-293,182,347,485.694732666016
-193,182,336,489.367126464844
-93,182,377,499.454193115234
7,182,403,645.341003417969
107,182,374,512.749084472656
207,182,427,459.363189697266
307,182,677,648.511169433594
407,182,694,651.883850097656
507,182,966,630.756774902344
607,182,859,549.720642089844
707,182,832,848.470825195312
807,182,758,904.304016113281
907,182,747,978.018981933594
1007,182,711,434.515228271484
1107,182,797,455.803100585938
1207,182,787,532.8818359375
1307,182,807,483.847381591797
1907,182,974,667.508178710938
2007,182,1217,646.258422851562
2107,182,974,655.992553710938
2207,182,1092,689.769226074219
2307,182,1115,667.160461425781
-1993,82,3804,1569.92663574219
-1893,82,1799,951.657531738281
-1793,82,2372,748.743103027344
-1693,82,665,615.609069824219
-1593,82,410,601.947937011719
-1493,82,555,897.991271972656
-1393,82,341,785.902282714844
-1293,82,614,752.284240722656
-1193,82,804,598.578918457031
-1093,82,480,760.716491699219
-993,82,193,418.240234375
-893,82,645,572.121704101562
-793,82,304,746.745788574219
-693,82,257,683.679321289062
-593,82,246,712.465698242188
-493,82,238,647.457153320312
-393,82,283,443.84326171875
-293,82,274,590.86474609375
-193,82,353,586.315063476562
-93,82,348,505.761962890625
7,82,363,529.987670898438
107,82,370,491.960235595703
207,82,522,502.476684570312
307,82,560,588.199951171875
407,82,637,661.16552734375
507,82,792,879.92626953125
607,82,758,830.959533691406
707,82,819,941.935974121094
807,82,753,913.104064941406
907,82,766,527.447265625
1007,82,692,452.431091308594
1107,82,970,622.646484375
1207,82,845,449.313995361328
1307,82,725,479.658630371094
1407,82,680,586.884399414062
1707,82,959,715.371459960938
1807,82,916,715.371459960938
1907,82,1094,712.100036621094
2007,82,1161,714.08203125
2107,82,1026,616.028625488281
2207,82,1108,698.61376953125
2307,82,1149,657.815124511719
2407,82,1223,652.417724609375
-1993,-18,3668,1380.24243164062
-1893,-18,1722,665.739196777344
-1793,-18,810,561.131896972656
-1693,-18,346,458.465759277344
-1593,-18,336,438.702697753906
-1493,-18,357,531.802856445312
-1393,-18,237,529.132385253906
-1293,-18,257,784.630798339844
-1193,-18,784,744.601989746094
-1093,-18,269,617.651000976562
-993,-18,186,701.487243652344
-893,-18,529,970.560607910156
-793,-18,758,663.268859863281
-693,-18,86,518.8857421875
-593,-18,420,578.064392089844
-493,-18,281,531.581970214844
-393,-18,303,496.945770263672
-293,-18,291,594.338073730469
-193,-18,279,594.351318359375
-93,-18,309,544.099792480469
7,-18,340,564.673156738281
107,-18,442,526.467712402344
207,-18,480,599.591125488281
307,-18,510,734.6064453125
407,-18,670,751.227722167969
507,-18,842,625.605224609375
607,-18,755,647.848937988281
707,-18,798,860.802795410156
807,-18,782,647.154907226562
907,-18,804,557.534790039062
1007,-18,848,705.323303222656
1107,-18,990,746.274353027344
1207,-18,912,642.360229492188
1307,-18,822,595.54833984375
1407,-18,724,738.072143554688
1707,-18,908,675.286682128906
1807,-18,917,627.922729492188
1907,-18,1044,597.971496582031
2007,-18,1161,692.129028320312
2107,-18,1199,697.421264648438
2207,-18,1168,824.163696289062
2307,-18,1012,852.407653808594
2407,-18,1240,755.033630371094
-1993,-118,2003,1056.34790039062
-1893,-118,1295,702.089782714844
-1793,-118,508,457.158386230469
-1693,-118,418,482.206695556641
-1593,-118,306,631.44775390625
-1493,-118,198,714.659790039062
-1393,-118,339,594.075439453125
-1293,-118,267,893.340759277344
-1193,-118,328,575.549865722656
-1093,-118,306,587.235168457031
-993,-118,222,673.064819335938
-893,-118,579,619.707397460938
-793,-118,418,486.382385253906
-693,-118,97,369.320220947266
-593,-118,235,445.942657470703
-493,-118,263,475.627227783203
-393,-118,253,409.228912353516
-293,-118,286,606.450256347656
-193,-118,309,501.257934570312
-93,-118,307,576.647521972656
7,-118,342,558.209838867188
107,-118,476,517.615417480469
207,-118,562,597.337280273438
307,-118,661,750.263488769531
407,-118,661,727.579223632812
507,-118,611,682.395202636719
607,-118,796,870.49462890625
707,-118,782,713.113708496094
807,-118,788,650.454162597656
907,-118,778,701.826293945312
1007,-118,770,767.239929199219
1107,-118,867,623.672424316406
1207,-118,902,632.139709472656
1307,-118,758,628.838256835938
1407,-118,740,761.2158203125
1607,-118,1187,857.414367675781
1707,-118,1188,686.29052734375
1807,-118,1091,723.838134765625
1907,-118,1112,769.964233398438
2007,-118,1329,653.046020507812
2107,-118,1092,1140.28234863281
2207,-118,1108,1184.732421875
2307,-118,979,743.638732910156
-1993,-218,2059,1025.76599121094
-1893,-218,1173,982.315734863281
-1793,-218,994,619.014465332031
-1693,-218,632,546.34130859375
-1593,-218,173,524.781127929688
-1493,-218,186,643.507934570312
-1393,-218,356,597.531616210938
-1293,-218,417,603.164916992188
-1193,-218,318,601.061157226562
-1093,-218,319,903.928466796875
-993,-218,402,559.328247070312
-893,-218,367,613.103454589844
-793,-218,142,457.527465820312
-693,-218,112,526.674682617188
-593,-218,105,428.173400878906
-493,-218,210,514.472106933594
-393,-218,168,430.17529296875
-293,-218,225,606.078979492188
-193,-218,288,438.857055664062
-93,-218,284,337.238311767578
7,-218,287,612.270141601562
107,-218,342,605.795776367188
207,-218,375,569.734680175781
307,-218,547,896.034423828125
407,-218,665,743.27001953125
507,-218,579,850.427551269531
607,-218,640,989.046020507812
707,-218,718,832.829162597656
807,-218,644,737.4453125
907,-218,642,799.726928710938
1007,-218,705,707.221008300781
1107,-218,896,769.096923828125
1207,-218,811,612.470947265625
1307,-218,687,664.345947265625
1407,-218,977,740.320129394531
1507,-218,1205,733.261901855469
1607,-218,1121,645.657348632812
1707,-218,1255,634.266174316406
1807,-218,1093,674.658447265625
1907,-218,1216,745.011413574219
2007,-218,1160,691.81005859375
2107,-218,1113,1280.9267578125
2207,-218,1406,1163.82373046875
-1993,-318,1347,1181.91906738281
-1893,-318,719,727.387084960938
-1793,-318,1067,785.939758300781
-1693,-318,249,764.892333984375
-1593,-318,148,370.138275146484
-1493,-318,182,729.0380859375
-1393,-318,158,674.385131835938
-1293,-318,288,692.695434570312
-1193,-318,196,650.313903808594
-1093,-318,150,578.066467285156
-993,-318,307,589.172058105469
-893,-318,206,483.477874755859
-793,-318,140,484.704040527344
-693,-318,136,451.322631835938
-593,-318,148,568.969177246094
-493,-318,183,553.03564453125
-393,-318,157,577.553161621094
-293,-318,147,708.335266113281
-193,-318,180,317.053375244141
-93,-318,237,498.381378173828
7,-318,299,572.720642089844
107,-318,362,694.781188964844
207,-318,396,710.688293457031
307,-318,521,850.931396484375
407,-318,632,939.646362304688
507,-318,652,1082.61804199219
607,-318,611,928.385803222656
707,-318,730,912.751708984375
807,-318,713,836.728393554688
907,-318,609,688.545104980469
1007,-318,776,843.632568359375
1107,-318,775,791.779052734375
1207,-318,745,766.945678710938
1307,-318,925,803.748596191406
1407,-318,937,745.637084960938
1507,-318,964,638.816040039062
1607,-318,1087,648.688781738281
1707,-318,1312,704.936462402344
1807,-318,1169,754.730407714844
1907,-318,1191,1125.66284179688
2007,-318,1100,1321.33447265625
2107,-318,1082,1011.62768554688
2207,-318,1343,977.758178710938
-1993,-418,1368,963.179565429688
-1893,-418,598,932.084777832031
-1793,-418,2081,744.303405761719
-1693,-418,158,842.208618164062
-1593,-418,61,262.080413818359
-1493,-418,200,267.251647949219
-1393,-418,203,407.693450927734
-1293,-418,336,418.660369873047
-1193,-418,79,569.522521972656
-1093,-418,166,628.322814941406
-993,-418,339,552.221435546875
-893,-418,265,616.92822265625
-793,-418,165,505.73095703125
-693,-418,159,630.7177734375
-593,-418,368,762.955261230469
-493,-418,295,578.555541992188
-393,-418,264,548.779235839844
-293,-418,232,528.38232421875
-193,-418,215,590.165771484375
-93,-418,229,519.843872070312
7,-418,273,553.892639160156
107,-418,341,785.875915527344
207,-418,353,853.936096191406
307,-418,499,1024.95178222656
407,-418,710,896.199401855469
507,-418,773,782.154907226562
607,-418,699,748.860107421875
707,-418,801,845.355712890625
807,-418,709,782.813537597656
907,-418,744,854.844787597656
1007,-418,756,871.431030273438
1107,-418,900,797.241027832031
1207,-418,930,706.411987304688
1307,-418,959,837.560119628906
1407,-418,918,789.095458984375
1507,-418,1079,697.759216308594
1607,-418,1203,777.650451660156
1707,-418,1277,748.448120117188
1807,-418,973,858.586181640625
1907,-418,998,1106.56579589844
2007,-418,976,1323.74353027344
2107,-418,1165,1442.60498046875
-1993,-518,932,1108.95886230469
-1893,-518,560,987.004150390625
-1793,-518,546,1003.31091308594
-1693,-518,123,548.534362792969
-1593,-518,169,271.901031494141
-1493,-518,215,640.849731445312
-1393,-518,284,428.757934570312
-1293,-518,304,495.427459716797
-1193,-518,163,412.558685302734
-1093,-518,165,577.392028808594
-993,-518,301,581.741638183594
-893,-518,164,424.444488525391
-793,-518,115,432.318939208984
-693,-518,241,513.216613769531
-593,-518,457,512.246948242188
-493,-518,387,583.637634277344
-393,-518,224,574.458923339844
-293,-518,265,529.962768554688
-193,-518,313,693.909057617188
-93,-518,292,563.377319335938
7,-518,306,832.317077636719
107,-518,434,834.987854003906
207,-518,583,1056.15893554688
307,-518,576,1099.11669921875
407,-518,642,876.218322753906
507,-518,683,821.185241699219
607,-518,713,837.413391113281
707,-518,769,855.146728515625
807,-518,671,906.801513671875
907,-518,690,998.570068359375
1007,-518,846,1059.3837890625
1107,-518,967,1069.39904785156
1207,-518,930,1084.08837890625
1307,-518,1013,1110.02880859375
1407,-518,1114,1155.04541015625
1507,-518,1122,1066.83312988281
1607,-518,1274,1075.46154785156
1707,-518,1347,800.041320800781
1807,-518,1094,1148.94104003906
1907,-518,1014,1102.35375976562
2007,-518,1097,1361.41430664062
2107,-518,1315,1359.84875488281
-1993,-618,1639,1230.03686523438
-1893,-618,512,338.4775390625
-1793,-618,229,957.5830078125
-1693,-618,1081,709.391784667969
-1593,-618,121,267.637176513672
-1493,-618,151,640.849731445312
-1393,-618,171,584.14990234375
-1293,-618,297,442.801605224609
-1193,-618,318,412.558685302734
-1093,-618,217,585.220031738281
-993,-618,145,547.585876464844
